title,years_experience,degree_level,location,industry,company_size,skills,skill_count,salary
software_engineer,1.9,master,bengaluru,finance,startup,"['Redis', 'Java', 'Node.js']",3,95110.92269870723
frontend_engineer,4.5,none,london,media,mid,"['Vue.js', 'TypeScript', 'Tailwind CSS', 'Next.js', 'Jest']",5,163370.2019960871
backend_engineer,2.2,bachelor,bengaluru,retail,enterprise,"['REST APIs', 'Redis', 'Python', 'Go']",4,85213.84354062562
product_manager,4.2,bachelor,new_york,finance,mid,"['Agile', 'Analytics', 'A/B Testing', 'Figma', 'Product Management']",5,264754.03146271314
product_manager,2.8,none,bengaluru,retail,small,"['Figma', 'Stakeholder Management', 'Jira', 'Agile']",4,70977.16380086595
fullstack_engineer,8.4,none,remote,retail,mid,"['Next.js', 'TypeScript', 'JavaScript', 'Node.js', 'FastAPI', 'PostgreSQL', 'Docker']",7,150253.0830641907
software_engineer,5.0,bachelor,remote,manufacturing,mid,"['Docker', 'TypeScript', 'Redis', 'Java', 'Node.js']",5,148791.35849495922
backend_engineer,5.2,master,san_francisco,technology,startup,"['Python', 'PostgreSQL', 'MongoDB', 'Kafka', 'Docker']",5,246110.2731312303
ml_engineer,7.4,master,toronto,consulting,small,"['Machine Learning', 'TensorFlow', 'MLflow', 'Python', 'LLM', 'Docker']",6,265690.60847420315
software_engineer,3.8,master,seattle,consulting,small,"['Python', 'FastAPI', 'PostgreSQL', 'Docker']",4,221184.45700125265
data_engineer,2.3,bachelor,berlin,healthcare,mid,"['Spark', 'Airflow', 'AWS', 'ETL']",4,188136.55397953687
site_reliability_engineer,6.9,bachelor,berlin,healthcare,startup,"['Docker', 'Terraform', 'Grafana', 'Go', 'Linux', 'CI/CD']",6,198163.25163971225
frontend_engineer,10.5,bachelor,seattle,retail,large,"['GraphQL', 'Next.js', 'Vue.js', 'TypeScript', 'Tailwind CSS', 'Redux', 'JavaScript', 'React']",8,195307.2521608013
frontend_engineer,8.2,bachelor,london,finance,enterprise,"['Vue.js', 'Next.js', 'Tailwind CSS', 'JavaScript', 'GraphQL', 'Jest', 'React']",7,272508.0524240774
frontend_engineer,0.8,associate,remote,finance,large,"['React', 'JavaScript', 'Next.js']",3,160013.79156622163
frontend_engineer,12.5,master,seattle,retail,large,"['Next.js', 'Tailwind CSS', 'Jest', 'TypeScript', 'Vue.js', 'GraphQL', 'Redux', 'JavaScript', 'React']",9,247861.12169595592
data_engineer,6.4,associate,san_francisco,technology,large,"['SQL', 'Snowflake', 'PostgreSQL', 'Kafka', 'Airflow', 'AWS']",6,253985.90170019426
data_scientist,4.7,master,toronto,finance,mid,"['NLP', 'TensorFlow', 'SQL', 'Python', 'NumPy']",5,242898.56274757138
fullstack_engineer,12.6,phd,london,consulting,small,"['Docker', 'FastAPI', 'JavaScript', 'TypeScript', 'Next.js', 'Node.js', 'React', 'GraphQL', 'PostgreSQL']",9,357991.16989483446
product_manager,8.2,bachelor,london,healthcare,enterprise,"['Jira', 'Stakeholder Management', 'Figma', 'Analytics', 'SQL', 'Agile', 'A/B Testing']",7,274532.6174904675
data_engineer,1.5,associate,san_francisco,energy,large,"['ETL', 'dbt', 'Python']",3,226083.18450975622
devops_engineer,3.9,bachelor,london,retail,startup,"['CI/CD', 'Grafana', 'Kubernetes', 'AWS']",4,178453.769113093
data_scientist,2.6,none,toronto,finance,large,"['NLP', 'SHAP', 'NumPy', 'Python']",4,181578.84808644085
site_reliability_engineer,6.7,bachelor,san_francisco,finance,small,"['Terraform', 'Docker', 'Linux', 'Prometheus', 'Go', 'Grafana']",6,340740.31426577084
frontend_engineer,2.9,master,remote,healthcare,small,"['Tailwind CSS', 'GraphQL', 'Redux', 'Vue.js']",4,126089.93407525939
backend_engineer,12.4,associate,san_francisco,education,startup,"['MongoDB', 'Java', 'Kafka', 'PostgreSQL', 'REST APIs', 'Docker', 'Go', 'Celery', 'Redis']",9,240006.52798000834
product_manager,8.9,phd,toronto,retail,enterprise,"['SQL', 'Figma', 'Product Management', 'Analytics', 'A/B Testing', 'Agile', 'Stakeholder Management']",7,157858.59572647052
fullstack_engineer,6.6,none,bengaluru,education,mid,"['Docker', 'FastAPI', 'PostgreSQL', 'TypeScript', 'Next.js', 'Node.js']",6,94326.25917546537
data_engineer,5.8,bachelor,london,media,large,"['PostgreSQL', 'Python', 'Airflow', 'Kafka', 'Snowflake']",5,219963.9612380746
product_manager,14.5,master,san_francisco,retail,small,"['A/B Testing', 'Product Management', 'Figma', 'Stakeholder Management', 'Jira', 'SQL', 'Agile', 'Analytics', 'Airflow', 'React']",10,342563.76026176015
product_manager,6.7,bachelor,singapore,healthcare,mid,"['Figma', 'Jira', 'Agile', 'A/B Testing', 'Stakeholder Management', 'Product Management']",6,193898.37210944874
ml_engineer,6.4,associate,san_francisco,energy,mid,"['PyTorch', 'Kubernetes', 'RAG', 'TensorFlow', 'Deep Learning', 'MLflow']",6,300094.1509864266
software_engineer,3.9,bachelor,london,manufacturing,startup,"['Next.js', 'Java', 'Node.js', 'Python']",4,157317.77140812937
data_engineer,15.2,bachelor,remote,healthcare,mid,"['Python', 'Kafka', 'dbt', 'PostgreSQL', 'AWS', 'Airflow', 'Snowflake', 'Spark', 'SQL', 'ETL']",10,298616.68131000485
fullstack_engineer,1.3,master,new_york,energy,mid,"['Docker', 'JavaScript', 'React']",3,167541.45200238124
software_engineer,3.9,master,remote,media,large,"['FastAPI', 'Python', 'PostgreSQL', 'React']",4,170364.36004397064
fullstack_engineer,4.9,bachelor,berlin,finance,mid,"['FastAPI', 'Next.js', 'GraphQL', 'React', 'JavaScript']",5,228885.4854737167
fullstack_engineer,3.9,bachelor,singapore,media,mid,"['Node.js', 'Docker', 'TypeScript', 'PostgreSQL']",4,164805.20836789912
ml_engineer,2.3,bachelor,seattle,finance,enterprise,"['Machine Learning', 'TensorFlow', 'Kubernetes', 'RAG']",4,336631.3098520756
backend_engineer,4.9,bachelor,san_francisco,finance,small,"['REST APIs', 'MongoDB', 'PostgreSQL', 'Python', 'Docker']",5,295791.30855377234
data_scientist,7.3,master,berlin,healthcare,mid,"['NumPy', 'SQL', 'NLP', 'Machine Learning', 'SHAP', 'scikit-learn']",6,247204.22331089078
frontend_engineer,0.5,bachelor,singapore,retail,mid,"['GraphQL', 'Redux', 'Next.js']",3,113979.6995796534
frontend_engineer,3.2,bachelor,remote,healthcare,startup,"['Redux', 'Next.js', 'Vue.js', 'JavaScript']",4,129077.03058627601
devops_engineer,2.8,associate,bengaluru,retail,large,"['CI/CD', 'Ansible', 'Docker', 'Grafana']",4,78259.09374708474
software_engineer,1.3,master,remote,finance,startup,"['Next.js', 'Node.js', 'TypeScript']",3,174022.25855807672
site_reliability_engineer,16.7,associate,seattle,media,enterprise,"['Linux', 'CI/CD', 'Terraform', 'Go', 'Docker', 'Kubernetes', 'AWS', 'Grafana', 'Prometheus', 'GraphQL', 'Kafka']",11,436932.4406890041
product_manager,0.7,master,london,media,enterprise,"['SQL', 'Stakeholder Management', 'Jira']",3,192642.39954542075
fullstack_engineer,3.0,master,austin,healthcare,enterprise,"['PostgreSQL', 'JavaScript', 'Next.js', 'FastAPI']",4,161530.5941089343
backend_engineer,3.2,none,remote,manufacturing,small,"['Python', 'Docker', 'REST APIs', 'Kafka']",4,135208.9563850528
frontend_engineer,1.8,bachelor,singapore,finance,mid,"['Next.js', 'TypeScript', 'GraphQL']",3,173680.94403947802
frontend_engineer,3.1,bachelor,remote,education,mid,"['Redux', 'Jest', 'TypeScript', 'Next.js']",4,94532.47879270597
data_scientist,9.2,master,singapore,healthcare,large,"['SHAP', 'Machine Learning', 'Pandas', 'Python', 'PyTorch', 'scikit-learn', 'SQL']",7,285071.37450456235
devops_engineer,6.2,associate,london,finance,small,"['CI/CD', 'Prometheus', 'Kubernetes', 'Terraform', 'Linux', 'Ansible']",6,254992.75314596517
product_manager,5.3,master,san_francisco,healthcare,enterprise,"['SQL', 'Analytics', 'Agile', 'Product Management', 'Stakeholder Management']",5,291261.3768075394
product_manager,2.2,bachelor,austin,education,large,"['Agile', 'Jira', 'Product Management', 'Figma']",4,136643.62289796022
software_engineer,4.0,bachelor,london,technology,small,"['Next.js', 'Node.js', 'FastAPI', 'Redis', 'React']",5,204932.43104391484
data_engineer,8.8,master,bengaluru,education,startup,"['Airflow', 'Python', 'Snowflake', 'SQL', 'Kafka', 'ETL', 'AWS']",7,108216.57577287196
data_scientist,4.6,bachelor,berlin,energy,large,"['NLP', 'NumPy', 'Python', 'Machine Learning', 'scikit-learn']",5,224581.12853374358
frontend_engineer,0.7,associate,seattle,retail,enterprise,"['Vue.js', 'TypeScript', 'Next.js']",3,144189.91440648795
backend_engineer,3.5,bachelor,san_francisco,retail,large,"['Celery', 'Java', 'MongoDB', 'Redis']",4,210501.7673472095
site_reliability_engineer,12.3,none,berlin,education,startup,"['Linux', 'Go', 'Grafana', 'Terraform', 'Kubernetes', 'CI/CD', 'AWS', 'Prometheus', 'Docker']",9,241212.2523801654
frontend_engineer,8.7,bachelor,remote,consulting,mid,"['TypeScript', 'GraphQL', 'React', 'JavaScript', 'Tailwind CSS', 'Redux', 'Next.js']",7,189148.7834061109
devops_engineer,2.9,bachelor,berlin,healthcare,mid,"['Ansible', 'Kubernetes', 'Docker', 'Linux']",4,187987.84604009122
site_reliability_engineer,0.8,bachelor,remote,consulting,small,"['Linux', 'Grafana', 'CI/CD']",3,141679.24989332503
product_manager,8.4,associate,san_francisco,finance,small,"['Analytics', 'Product Management', 'Stakeholder Management', 'Agile', 'Jira', 'A/B Testing', 'Figma']",7,280287.33852068783
devops_engineer,3.5,bachelor,singapore,retail,mid,"['Prometheus', 'CI/CD', 'Kubernetes', 'Ansible']",4,145708.0578343444
site_reliability_engineer,7.0,bachelor,berlin,consulting,large,"['CI/CD', 'Docker', 'Prometheus', 'Grafana', 'Go', 'Linux']",6,244157.88711616327
